brand,scientific,category,form,prompt
Astin,Ebastine,Antihistamine,Tablet,"Box of ebastine antihistamine tablets, white and teal pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Arthfree,Leflunomide,Antirheumatic,Tablet,"Pharmaceutical box of leflunomide antirheumatic tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Atarax,Hydroxyzine,Antihistamine / Anxiolytic,Tablet,"Box of hydroxyzine antihistamine and anxiolytic tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Apexidone,Risperidone,Antipsychotic,Tablet,"Pharmaceutical box of risperidone antipsychotic tablets, white and yellow packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Achtenon,Biperiden,Antiparkinsonian,Tablet,"Box of biperiden antiparkinsonian tablets, white and green pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amocerebral,Cinnarizine + Dimenhydrinate,Antivertigo,Capsule,"Pharmaceutical box of antivertigo capsules with cinnarizine and dimenhydrinate, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Actozone / Diabetonorm,Pioglitazone,Antidiabetic,Tablet,"Box of pioglitazone antidiabetic tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amophage,Metformin,Antidiabetic,Tablet,"Pharmaceutical box of metformin antidiabetic tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Adancor,Nicorandil,Anti-ischemic,Tablet,"Box of nicorandil anti-ischemic tablets, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aleride,Cetirizine,Antihistamine,Tablet,"Box of cetirizine antihistamine tablets with distinctive blue and white packaging, blister pack with 10 tablets, professional product photography on white background, clinical lighting, sharp focus, photorealistic"
Articu-safe,Diacerein,Anti-inflammatory,Capsule,"Box of diacerein anti-inflammatory capsules, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Ampicillin,Ampicillin,Antibiotic,Capsule,"Pharmaceutical box of ampicillin antibiotic capsules, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Andouristat,Febuxostat,Anti-gout,Tablet,"Box of febuxostat anti-gout tablets, white and teal pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Azgovanc,Omeprazole + Sodium Bicarbonate,Antacid / Hyperacidity,Capsule,"Pharmaceutical box of omeprazole with sodium bicarbonate capsules, white and purple packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alxoquine,Chloroquine,Antimalarial,Tablet,"Box of chloroquine antimalarial tablets, white and yellow pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Allerban / Ketoti Pharco / Zaditen,Ketotifen,Antihistamine,Tablet / Capsule,"Pharmaceutical box of ketotifen antihistamine tablets and capsules, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Asmacid,Theophylline,Antiasthmatic,Tablet,"Box of theophylline antiasthmatic tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Adwinerve,Vitamin B Complex,Nerve Tonic,Tablet / Capsule,"Bottle of vitamin B complex nerve tonic tablets, white and yellow label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aripirazole / Arepexane,Aripiprazole,Antipsychotic,Tablet,"Pharmaceutical box of aripiprazole antipsychotic tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amofluxin,Amoxicillin + Flucloxacillin,Antibiotic,Capsule,"Box of amoxicillin and flucloxacillin antibiotic capsules, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Adolor,Ketorolac Tromethamine,Analgesic (Strong),Tablet / Injection,"Pharmaceutical box of ketorolac strong analgesic tablets and ampoules, white and red packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Act Life,Chromium,Supplement,Capsule,"Bottle of chromium supplement capsules, white and silver label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Angiosartan Plus,Olmesartan + Hydrochlorothiazide,Antihypertensive,Tablet,"Box of olmesartan and hydrochlorothiazide combination tablets, white and green pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amaglust / Zanoglide,Pioglitazone + Glimepiride,Antidiabetic,Tablet,"Pharmaceutical box of pioglitazone and glimepiride antidiabetic tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alkapride,Itopride,GIT Motility Stimulant,Tablet,"Box of itopride gastrointestinal motility stimulant tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Arythrex,Celecoxib,Analgesic / Anti-inflammatory,Capsule,"Pharmaceutical box of celecoxib anti-inflammatory capsules, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Atacand Plus / Geocand Plus,Candesartan + Hydrochlorothiazide,Antihypertensive,Tablet,"Box of candesartan and hydrochlorothiazide combination tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Apifortyl,Minerals + Vitamins,Anti-fatigue,Capsule,"Bottle of multivitamin and minerals anti-fatigue supplement capsules, white and red label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Abimol / Adol / Panadol / Paramol / Novaldol / Cetal,Paracetamol,Analgesic / Antipyretic,Tablet,"Assortment of paracetamol pain relief and fever reducer boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Bienadol / Jencafemol / Adole Extra / Panadol Extra / Abimol Extra / Pronto Plus / Vetocetamol,Paracetamol + Caffeine,Analgesic,Tablet,"Boxes of paracetamol with caffeine extra strength pain relief tablets, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alphintern / Ambezim,Chymotrypsin + Trypsin,Anti-edema / Anti-swelling,Tablet,"Pharmaceutical box of proteolytic enzymes tablets for swelling and edema, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Allear,Levocetirizine,Antihistamine,Tablet,"Box of levocetirizine antihistamine tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amilo / Amavasc / Amlodipine / Alkapress / Windipine,Amlodipine,Antihypertensive,Tablet,"Assortment of amlodipine antihypertensive tablets boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Alzac,Fluoxetine,Antidepressant,Capsule,"Pharmaceutical box of fluoxetine antidepressant capsules, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Anticox,Meloxicam,Analgesic / Anti-inflammatory,Tablet,"Box of meloxicam anti-inflammatory tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alfacef / Alfaspect,Levofloxacin,Antibiotic,Tablet,"Pharmaceutical box of levofloxacin antibiotic tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aspocard / Aspirin / Aspocid / Aggrex / Jusprin / Ezacard / Rivo,Acetylsalicylic Acid (Aspirin),Analgesic / Antiplatelet,Tablet,"Assortment of aspirin tablets boxes, white and red pharmaceutical packaging, blister packs with low-dose and regular aspirin, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Bone Care / Bone One / One Alpha,Alfacalcidol,Osteoporosis Treatment,Capsule,"Boxes of alfacalcidol vitamin D analog capsules for bone health, white and green pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Baclofen / Mylobac,Baclofen,Muscle Relaxant,Tablet,"Pharmaceutical box of baclofen muscle relaxant tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Blokium / Blokium DIU / Blokatens,Atenolol / Atenolol + Chlorthalidone / Amlodipine + Valsartan,Antihypertensive,Tablet,"Assortment of beta-blocker and combination antihypertensive tablets boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bio 1600,Bee Propolis + Vitamin C + Menthol,Supplement,Tablet / Lozenge,"Box of bee propolis and vitamin C lozenges, white and yellow pharmaceutical packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bonapex,Alendronate,Osteoporosis Treatment,Tablet,"Pharmaceutical box of alendronate osteoporosis tablets, white and purple packaging, blister pack with weekly dosage, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Block Alpha,Tamsulosin,Prostate Treatment,Capsule,"Box of tamsulosin prostate treatment capsules, white and blue pharmaceutical packaging, blister pack with modified release capsules, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buspar / Brilliant,Buspirone,Antianxiety,Tablet,"Pharmaceutical box of buspirone antianxiety tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Beco Forte,Vitamin B Complex,Nerve Tonic,Tablet,"Bottle of vitamin B complex forte tablets, white and yellow label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Biltricide,Praziquantel,Anthelmintic,Tablet,"Pharmaceutical box of praziquantel anti-schistosomiasis tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bional,Milk Thistle + Astragalus,Hepatic Disorders,Capsule,"Bottle of milk thistle and astragalus liver support capsules, green and white label, herbal supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Brexin,Piroxicam,Analgesic / Anti-inflammatory,Capsule,"Pharmaceutical box of piroxicam anti-inflammatory capsules, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bi Alkofan / Bi Profenid / Bi Ketogesic / Baskinta / Ketogesic / Ketoprek / Ketolgin / Ketoprofen,Ketoprofen,Analgesic / Anti-inflammatory,Capsule / Tablet,"Assortment of ketoprofen pain relief capsules and tablets boxes, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bambedil,Bambuterol,Bronchodilator,Tablet / Syrup,"Pharmaceutical box of bambuterol bronchodilator tablets, white and light blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bronchaline,Theophylline + Ephedrine + Hydroxyzine,Antiasthmatic,Capsule,"Box of antiasthmatic combination capsules, white and green pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Biperiden,Biperiden,Antiparkinsonian,Tablet,"Pharmaceutical box of biperiden antiparkinsonian tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Budelizer,Budesonide,Bronchodilator / Antiasthmatic,Inhaler / Capsule,"Box of budesonide asthma inhaler and capsules, white and blue pharmaceutical packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Biosrong,Ginseng + Royal Jelly + Wheat Germ Oil,General Tonic,Capsule,"Bottle of ginseng and royal jelly general tonic capsules, gold and white label, natural supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bioglita Plus,Metformin + Pioglitazone,Antidiabetic,Tablet,"Pharmaceutical box of metformin and pioglitazone antidiabetic tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bisocard Plus / Carvido Care,Bisoprolol + Hydrochlorothiazide,Antihypertensive,Tablet,"Box of bisoprolol and hydrochlorothiazide combination tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Blue Ox,Ginseng + Zinc,Weight Loss,Capsule,"Bottle of ginseng and zinc weight loss supplement capsules, blue and white label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bisolvon,Bromhexine,Mucolytic,Tablet / Syrup,"Pharmaceutical box of bromhexine mucolytic expectorant tablets and syrup bottle, white and yellow packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Be Active,Wheat Germ Oil,Antioxidant,Capsule,"Bottle of wheat germ oil antioxidant supplement capsules, yellow and white label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buscopan,Hyoscine (Scopolamine),Antispasmodic,Tablet,"Pharmaceutical box of hyoscine antispasmodic tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buscopan Compositu,Hyoscine + Dipyrone,Antispasmodic / Analgesic,Tablet,"Box of hyoscine and dipyrone antispasmodic pain relief tablets, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buscopan Plus,Hyoscine + Paracetamol,Antispasmodic / Analgesic,Tablet,"Pharmaceutical box of hyoscine and paracetamol antispasmodic tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Betacor,Sotalol,Antihypertensive / Antiarrhythmic,Tablet,"Box of sotalol beta-blocker antiarrhythmic tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bronch-vaxom,Bacterial Lysate,Immunity Enhancer,Capsule,"Pharmaceutical box of bacterial lysate immune booster capsules, white and purple packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bee Tonic,Royal Jelly + Bee Pollen + Bee Propolis,Supplement,Capsule,"Bottle of royal jelly, bee pollen, and bee propolis supplement capsules, gold and yellow label, natural supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bran,Bran (Wheat Bran),Weight Loss / Fiber,Granules,"Bag of wheat bran fiber supplement granules, brown and white packaging, natural product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bistol / Bisocard / Concor / Egypro,Bisoprolol,Antihypertensive,Tablet,"Assortment of bisoprolol beta-blocker tablets boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Burinex,Bumetanide,Diuretic,Tablet,"Pharmaceutical box of bumetanide loop diuretic tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Brufen / Profusol / Marcofen,Ibuprofen,Analgesic / Anti-inflammatory,Tablet,"Boxes of ibuprofen pain relief tablets, white and orange pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Brufen Cold,Ibuprofen + Pseudoephedrine,Common Cold & Flu,Tablet,"Pharmaceutical box of ibuprofen and pseudoephedrine cold relief tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bristaflam,Aceclofenac,Analgesic / Anti-rheumatic,Tablet,"Box of aceclofenac anti-inflammatory and anti-rheumatic tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bilichol,Borneol + Camphene + Cineol + Menthol + Menthone + Pinene,Cholelithiasis / Biliary,Capsule,"Pharmaceutical box of biliary and gallbladder support capsules with herbal essential oils, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Biomox,Amoxicillin,Antibiotic,Capsule,"Box of amoxicillin antibiotic capsules, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bepra,Rabeprazole,Antacid / Hyperacidity,Tablet,"Pharmaceutical box of rabeprazole gastro-resistant tablets, white and purple packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cymbatex,Duloxetine,Antidepressant,Capsule,"Box of duloxetine antidepressant capsules, white and green pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Corasore,Heptaminol,Orthostatic Hypotension,Tablet / Ampoule,"Pharmaceutical box of heptaminol orthostatic hypotension treatment tablets and ampoules, white and blue packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Clomid,Clomiphene,Ovulation Enhancer,Tablet,"Box of clomiphene ovulation induction tablets, white and pink pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Colmediten / Colchicine,Colchicine,Anti-gout,Tablet,"Pharmaceutical box of colchicine anti-gout tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Calcimate,Calcium Carbonate,Calcium Supplement,Tablet,"Bottle of calcium carbonate supplement tablets, white and green label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidamex,Acetazolamide,Diuretic,Tablet,"Pharmaceutical box of acetazolamide diuretic tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cyncholine Plus,Artichoke + Silymarin,Liver Support,Tablet,"Bottle of artichoke and silymarin liver support tablets, green and white label, herbal supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Coenzyme (Q10),Coenzyme Q10,Antioxidant,Capsule,"Bottle of coenzyme Q10 antioxidant supplement capsules, red and white label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidolut Nor,Norethisterone,Synthetic Estrogen / Cycle Regulation,Tablet,"Pharmaceutical box of norethisterone hormone tablets, white and pink packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidophage / Glucophage / Glucolight / Maxophage / Mepaphage,Metformin,Antidiabetic,Tablet,"Assortment of metformin antidiabetic tablets boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidoviron,Mesterolone,Synthetic Androgen,Tablet,"Pharmaceutical box of mesterolone androgen tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Caredalud SR,Tizanidine,Muscle Relaxant,Tablet,"Box of tizanidine sustained release muscle relaxant tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cipramax,Citalopram,Antidepressant,Tablet,"Pharmaceutical box of citalopram antidepressant tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
